slm,llm_baseline,slm_mean_accuracy,llm_mean_accuracy,mean_difference,t_statistic,p_value,significant_at_0.05,n_pairs,holm_adjusted_p,significant_after_holm
phi-4-mini-instruct,gpt-4o,0.6036,0.7267,-0.1231,-1.2012,0.2959,False,5,1.0,False
phi-4-mini-instruct,claude-haiku-4-5,0.6036,0.7326,-0.129,-1.2361,0.284,False,5,1.0,False
phi-4-mini-instruct,gemini-2.5-flash,0.6036,0.7665,-0.1629,-1.4728,0.2148,False,5,1.0,False
Mistral-7B-v0.3,gpt-4o,0.5238,0.7267,-0.2029,-1.4546,0.2195,False,5,1.0,False
Mistral-7B-v0.3,claude-haiku-4-5,0.5238,0.7326,-0.2088,-1.4162,0.2297,False,5,1.0,False
Mistral-7B-v0.3,gemini-2.5-flash,0.5238,0.7665,-0.2427,-1.5375,0.199,False,5,1.0,False
Llama-3.2-3B-Instruct,gpt-4o,0.6032,0.7267,-0.1235,-1.4809,0.2127,False,5,1.0,False
Llama-3.2-3B-Instruct,claude-haiku-4-5,0.6032,0.7326,-0.1294,-1.4465,0.2216,False,5,1.0,False
Llama-3.2-3B-Instruct,gemini-2.5-flash,0.6032,0.7665,-0.1633,-1.6494,0.1744,False,5,1.0,False
